day,user,material,demand,deadline,total_cost(mil VND),path
21/09/2023,C9,21107203,2,20,0.4,D3 -> C9
22/09/2023,C9,21107203,25,21,5.0,D3 -> C9
23/09/2023,C9,21107203,2,22,0.4,D3 -> C9
27/09/2023,C9,21107203,10,26,2.0,D3 -> C9
29/09/2023,C9,21107203,15,28,3.0,D3 -> C9
02/10/2023,C9,21107203,35,31,7.0,D3 -> C9
19/09/2023,C8,21163162,10,18,0.8,D3 -> C8
21/09/2023,C8,21163162,20,20,1.6,D3 -> C8
22/09/2023,C8,21163162,15,21,1.2,D3 -> C8
23/09/2023,C8,21163162,152,22,124.64,D1 -> D3 -> C8
25/09/2023,C8,21163162,168,24,137.76,D1 -> D3 -> C8
26/09/2023,C8,21163162,162,25,132.84,D1 -> D3 -> C8
27/09/2023,C8,21163162,329,26,269.78,D1 -> D3 -> C8
28/09/2023,C8,21163162,203,27,166.46,D1 -> D3 -> C8
29/09/2023,C8,21163162,394,28,575.24,D2 -> D1 -> D3 -> C8
30/09/2023,C8,21163162,127,29,10.16,D3 -> C8
02/10/2023,C8,21163162,224,31,183.68,D1 -> D3 -> C8
03/10/2023,C8,21163162,40,32,3.2,D3 -> C8
19/09/2023,C1,21163162,1,18,0.16,D1 -> C1
22/09/2023,C1,21163162,1,21,0.16,D1 -> C1
26/09/2023,C1,21163162,1,25,0.16,D1 -> C1
30/09/2023,C4,21163162,10,29,8.4,D2 -> C4
03/10/2023,C4,21163162,5,32,4.2,D2 -> C4
18/09/2023,C9,21163165,11,17,2.2,D3 -> C9
19/09/2023,C9,21163165,5,18,1.0,D3 -> C9
20/09/2023,C9,21163165,30,19,6.0,D3 -> C9
21/09/2023,C9,21163165,7,20,1.4,D3 -> C9
22/09/2023,C9,21163165,31,21,6.2,D3 -> C9
23/09/2023,C9,21163165,15,22,3.0,D3 -> C9
25/09/2023,C9,21163165,44,24,8.8,D3 -> C9
26/09/2023,C9,21163165,68,25,13.6,D3 -> C9
27/09/2023,C9,21163165,12,26,2.4,D3 -> C9
28/09/2023,C9,21163165,96,27,19.2,D3 -> C9
29/09/2023,C9,21163165,102,28,20.4,D3 -> C9
30/09/2023,C9,21163165,70,29,14.0,D3 -> C9
02/10/2023,C9,21163165,117,31,23.4,D3 -> C9
03/10/2023,C9,21163165,7,32,1.4,D3 -> C9
18/09/2023,C2,21163165,4,17,0.96,D1 -> C2
19/09/2023,C2,21163165,2,18,0.48,D1 -> C2
20/09/2023,C2,21163165,2,19,0.48,D1 -> C2
21/09/2023,C2,21163165,13,20,3.12,D1 -> C2
22/09/2023,C2,21163165,4,21,0.96,D1 -> C2
23/09/2023,C2,21163165,11,22,2.64,D1 -> C2
25/09/2023,C2,21163165,2,24,0.48,D1 -> C2
26/09/2023,C2,21163165,3,25,0.72,D1 -> C2
27/09/2023,C2,21163165,5,26,1.2,D1 -> C2
28/09/2023,C2,21163165,12,27,2.88,D1 -> C2
29/09/2023,C2,21163165,9,28,2.16,D1 -> C2
30/09/2023,C2,21163165,29,29,6.96,D1 -> C2
02/10/2023,C2,21163165,5,31,1.2,D1 -> C2
18/09/2023,C10,21163240,43,17,10.32,D3 -> C10
19/09/2023,C10,21163240,80,18,19.2,D3 -> C10
20/09/2023,C10,21163240,172,19,41.28,D3 -> C10
21/09/2023,C10,21163240,41,20,9.84,D3 -> C10
22/09/2023,C10,21163240,60,21,14.4,D3 -> C10
23/09/2023,C10,21163240,123,22,29.52,D3 -> C10
25/09/2023,C10,21163240,89,24,21.36,D3 -> C10
26/09/2023,C10,21163240,43,25,10.32,D3 -> C10
27/09/2023,C10,21163240,277,26,357.33,D2 -> D3 -> C10
28/09/2023,C10,21163240,236,27,56.64,D3 -> C10
29/09/2023,C10,21163240,244,28,314.76,D2 -> D3 -> C10
30/09/2023,C10,21163240,183,29,43.92,D3 -> C10
02/10/2023,C10,21163240,69,31,16.56,D3 -> C10
03/10/2023,C10,21163240,75,32,18.0,D3 -> C10
18/09/2023,C1,21163240,70,17,11.2,D1 -> C1
19/09/2023,C1,21163240,10,18,1.6,D1 -> C1
20/09/2023,C1,21163240,25,19,4.0,D1 -> C1
21/09/2023,C1,21163240,105,20,84.0,D2 -> D1 -> C1
22/09/2023,C1,21163240,39,21,6.24,D1 -> C1
23/09/2023,C1,21163240,183,22,146.4,D2 -> D1 -> C1
25/09/2023,C1,21163240,12,24,1.92,D1 -> C1
26/09/2023,C1,21163240,69,25,11.04,D1 -> C1
27/09/2023,C1,21163240,24,26,3.84,D1 -> C1
28/09/2023,C1,21163240,72,27,11.52,D1 -> C1
29/09/2023,C1,21163240,92,28,73.6,D2 -> D1 -> C1
30/09/2023,C1,21163240,183,29,146.4,D2 -> D1 -> C1
02/10/2023,C1,21163240,74,31,11.84,D1 -> C1
03/10/2023,C1,21163240,46,32,7.36,D1 -> C1
20/09/2023,C5,21163240,9,19,1.8,D2 -> C5
23/09/2023,C5,21163240,4,22,0.8,D2 -> C5
25/09/2023,C5,21163240,7,24,1.4,D2 -> C5
27/09/2023,C5,21163240,21,26,4.2,D2 -> C5
28/09/2023,C5,21163240,3,27,0.6,D2 -> C5
29/09/2023,C5,21163240,6,28,1.2,D2 -> C5
30/09/2023,C5,21163240,32,29,6.4,D2 -> C5
02/10/2023,C5,21163240,5,31,1.0,D2 -> C5
18/09/2023,C6,67068535,4,17,0.48,D3 -> C6
19/09/2023,C6,67068535,32,18,3.84,D3 -> C6
20/09/2023,C6,67068535,18,19,2.16,D3 -> C6
21/09/2023,C6,67068535,11,20,1.32,D3 -> C6
22/09/2023,C6,67068535,46,21,5.52,D3 -> C6
23/09/2023,C6,67068535,13,22,1.56,D3 -> C6
25/09/2023,C6,67068535,20,24,2.4,D3 -> C6
26/09/2023,C6,67068535,57,25,6.84,D3 -> C6
27/09/2023,C6,67068535,69,26,8.28,D3 -> C6
28/09/2023,C6,67068535,64,27,7.68,D3 -> C6
29/09/2023,C6,67068535,67,28,8.04,D3 -> C6
30/09/2023,C6,67068535,51,29,6.12,D3 -> C6
02/10/2023,C6,67068535,34,31,4.08,D3 -> C6
03/10/2023,C6,67068535,30,32,3.6,D3 -> C6
18/09/2023,C2,67068535,4,17,0.96,D1 -> C2
19/09/2023,C2,67068535,35,18,8.4,D1 -> C2
20/09/2023,C2,67068535,276,19,270.48,D3 -> D1 -> C2
21/09/2023,C2,67068535,59,20,57.82,D3 -> D1 -> C2
22/09/2023,C2,67068535,172,21,168.56,D3 -> D1 -> C2
23/09/2023,C2,67068535,116,22,113.68,D3 -> D1 -> C2
25/09/2023,C2,67068535,8,24,1.92,D1 -> C2
26/09/2023,C2,67068535,38,25,9.12,D1 -> C2
27/09/2023,C2,67068535,49,26,11.76,D1 -> C2
28/09/2023,C2,67068535,93,27,91.14,D3 -> D1 -> C2
29/09/2023,C2,67068535,144,28,141.12,D3 -> D1 -> C2
30/09/2023,C2,67068535,61,29,59.78,D3 -> D1 -> C2
02/10/2023,C2,67068535,175,31,171.5,D3 -> D1 -> C2
03/10/2023,C2,67068535,5,32,1.2,D1 -> C2
20/09/2023,C4,67068535,2,19,1.68,D2 -> C4
22/09/2023,C4,67068535,8,21,6.72,D2 -> C4
23/09/2023,C4,67068535,10,22,8.4,D2 -> C4
27/09/2023,C4,67068535,11,26,9.24,D2 -> C4
29/09/2023,C4,67068535,1,28,0.84,D2 -> C4
30/09/2023,C4,67068535,7,29,5.88,D2 -> C4
20/09/2023,C9,67068537,7,19,1.4,D3 -> C9
21/09/2023,C9,67068537,8,20,1.6,D3 -> C9
22/09/2023,C9,67068537,5,21,1.0,D3 -> C9
23/09/2023,C9,67068537,2,22,0.4,D3 -> C9
29/09/2023,C9,67068537,1,28,0.2,D3 -> C9
18/09/2023,C1,67068537,1,17,0.16,D1 -> C1
19/09/2023,C1,67068537,6,18,0.96,D1 -> C1
20/09/2023,C1,67068537,4,19,0.64,D1 -> C1
21/09/2023,C1,67068537,6,20,0.96,D1 -> C1
22/09/2023,C1,67068537,5,21,0.8,D1 -> C1
23/09/2023,C1,67068537,19,22,3.04,D1 -> C1
26/09/2023,C1,67068537,14,25,2.24,D1 -> C1
27/09/2023,C1,67068537,6,26,0.96,D1 -> C1
28/09/2023,C1,67068537,8,27,1.28,D1 -> C1
29/09/2023,C1,67068537,5,28,0.8,D1 -> C1
30/09/2023,C1,67068537,13,29,2.08,D1 -> C1
02/10/2023,C1,67068537,16,31,2.56,D1 -> C1
03/10/2023,C1,67068537,11,32,1.76,D1 -> C1
21/09/2023,C5,67068537,1,20,0.2,D2 -> C5
22/09/2023,C5,67068537,1,21,0.2,D2 -> C5
25/09/2023,C5,67068537,1,24,0.2,D2 -> C5
27/09/2023,C5,67068537,2,26,0.4,D2 -> C5
20/09/2023,C6,67068541,1,19,0.12,D3 -> C6
21/09/2023,C6,67068541,13,20,1.56,D3 -> C6
22/09/2023,C6,67068541,7,21,0.84,D3 -> C6
23/09/2023,C6,67068541,3,22,0.36,D3 -> C6
25/09/2023,C6,67068541,10,24,1.2,D3 -> C6
26/09/2023,C6,67068541,2,25,0.24,D3 -> C6
27/09/2023,C6,67068541,11,26,1.32,D3 -> C6
28/09/2023,C6,67068541,1,27,0.12,D3 -> C6
29/09/2023,C6,67068541,10,28,1.2,D3 -> C6
30/09/2023,C6,67068541,7,29,0.84,D3 -> C6
02/10/2023,C6,67068541,5,31,0.6,D3 -> C6
18/09/2023,C1,67068541,2,17,2.24,D2 -> C1
20/09/2023,C1,67068541,5,19,5.6,D2 -> C1
21/09/2023,C1,67068541,1,20,1.12,D2 -> C1
22/09/2023,C1,67068541,1,21,1.12,D2 -> C1
23/09/2023,C1,67068541,4,22,4.48,D2 -> C1
25/09/2023,C1,67068541,1,24,1.12,D2 -> C1
30/09/2023,C1,67068541,3,29,3.36,D2 -> C1
02/10/2023,C1,67068541,6,31,6.72,D2 -> C1
29/09/2023,C4,67068541,1,28,0.84,D2 -> C4
19/09/2023,C7,67068543,2,18,0.2,D3 -> C7
20/09/2023,C7,67068543,4,19,0.4,D3 -> C7
21/09/2023,C7,67068543,4,20,0.4,D3 -> C7
22/09/2023,C7,67068543,5,21,0.5,D3 -> C7
23/09/2023,C7,67068543,4,22,0.4,D3 -> C7
25/09/2023,C7,67068543,11,24,1.1,D3 -> C7
26/09/2023,C7,67068543,13,25,1.3,D3 -> C7
27/09/2023,C7,67068543,12,26,1.2,D3 -> C7
28/09/2023,C7,67068543,3,27,0.3,D3 -> C7
29/09/2023,C7,67068543,17,28,1.7,D3 -> C7
30/09/2023,C7,67068543,12,29,1.2,D3 -> C7
02/10/2023,C7,67068543,9,31,0.9,D3 -> C7
20/09/2023,C2,67068543,8,19,1.92,D1 -> C2
22/09/2023,C2,67068543,3,21,0.72,D1 -> C2
23/09/2023,C2,67068543,12,22,11.76,D3 -> D1 -> C2
27/09/2023,C2,67068543,1,26,0.24,D1 -> C2
28/09/2023,C2,67068543,2,27,0.48,D1 -> C2
30/09/2023,C2,67068543,4,29,0.96,D1 -> C2
02/10/2023,C2,67068543,3,31,0.72,D1 -> C2
23/09/2023,C4,67068543,1,22,0.84,D2 -> C4
27/09/2023,C4,67068543,2,26,1.68,D2 -> C4
29/09/2023,C4,67068543,1,28,0.84,D2 -> C4
18/09/2023,C7,67068560,1,17,0.1,D3 -> C7
19/09/2023,C7,67068560,1,18,0.1,D3 -> C7
20/09/2023,C7,67068560,6,19,0.6,D3 -> C7
21/09/2023,C7,67068560,4,20,0.4,D3 -> C7
22/09/2023,C7,67068560,15,21,1.5,D3 -> C7
23/09/2023,C7,67068560,2,22,0.2,D3 -> C7
25/09/2023,C7,67068560,5,24,0.5,D3 -> C7
29/09/2023,C7,67068560,2,28,0.2,D3 -> C7
19/09/2023,C1,67068560,6,18,0.96,D1 -> C1
20/09/2023,C1,67068560,4,19,0.64,D1 -> C1
21/09/2023,C1,67068560,3,20,0.48,D1 -> C1
22/09/2023,C1,67068560,1,21,0.16,D1 -> C1
23/09/2023,C1,67068560,4,22,0.64,D1 -> C1
